City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cabo san lucas,5,MX,1603303048,45,22.89,-109.91,33.89,1.5
1,beringovskiy,32,RU,1603302801,80,63.05,179.32,3.81,4.03
3,havelock,75,US,1603303018,69,34.88,-76.9,28.33,4.1
4,lagoa,60,PT,1603303050,68,39.05,-27.98,17.22,9.16
5,leshukonskoye,95,RU,1603303050,98,64.9,45.76,-3.13,3
6,rikitea,72,PF,1603302926,66,-23.12,-134.97,23.23,3.63
7,saskylakh,92,RU,1603303051,94,71.92,114.08,-12.52,1.94
8,kaitangata,96,NZ,1603303051,74,-46.28,169.85,9.44,0.89
9,general pico,98,AR,1603303052,50,-35.66,-63.76,13.22,5.86
10,butaritari,100,KI,1603302925,69,3.07,172.79,28.07,3.45
11,katsuura,75,JP,1603302859,77,35.13,140.3,16,4.1
12,ushuaia,75,AR,1603303053,59,-54.8,-68.3,12,9.3
13,holme,100,DK,1603303053,100,56.11,10.17,12,3.6
14,bairiki,20,KI,1603303054,78,1.33,172.98,26,2.1
15,jamestown,90,US,1603303054,93,42.1,-79.24,18.33,6.7
16,cape town,0,ZA,1603303055,77,-33.93,18.42,16.11,7.7
17,busselton,0,AU,1603303055,66,-33.65,115.33,11.11,4.95
18,hermanus,0,ZA,1603303055,84,-34.42,19.23,13.89,2.06
19,dunedin,100,NZ,1603303020,74,-45.87,170.5,9.44,0.89
20,gillette,90,US,1603303056,86,44.29,-105.5,3.89,1.5
22,norman wells,75,CA,1603302825,85,65.28,-126.83,-5,9.8
23,punta arenas,90,CL,1603303057,45,-53.15,-70.92,9,5.1
24,miquelon,97,PM,1603303058,81,47.1,-56.38,12,4.6
25,georgetown,20,MY,1603302799,88,5.41,100.34,28,2.6
26,port blair,54,IN,1603303058,83,11.67,92.75,27.29,5.05
27,puerto ayora,75,EC,1603303009,73,-0.74,-90.35,25,3.6
28,mianyang,99,CN,1603303059,73,31.46,104.75,14.52,1.18
29,mataura,95,NZ,1603303059,79,-46.19,168.86,7.78,0.98
30,saint simons,75,US,1603303060,94,31.14,-81.39,25,4.6
31,raigarh,14,IN,1603303060,70,21.9,83.4,23.58,1.49
32,yellowknife,75,CA,1603303060,85,62.46,-114.35,-4.44,6.7
